id,left,top,right,bottom,num_of_points,F,H,L,P
"409",79.042195,21.133185,79.047195,21.128185,13,0,13,0,0
"410",79.042195,21.128185,79.047195,21.123185,22,0,19,0,3
"411",79.042195,21.123185,79.047195,21.118185,0,0,0,0,0
"412",79.042195,21.118185,79.047195,21.113185,0,0,0,0,0
"413",79.042195,21.113185,79.047195,21.108185,0,0,0,0,0
"414",79.042195,21.108185,79.047195,21.103185,0,0,0,0,0
"415",79.042195,21.103185,79.047195,21.098185,0,0,0,0,0
"416",79.042195,21.098185,79.047195,21.093185,0,0,0,0,0
"417",79.042195,21.093185,79.047195,21.088185,0,0,0,0,0
"418",79.042195,21.088185,79.047195,21.083185,0,0,0,0,0
"419",79.042195,21.083185,79.047195,21.078185,0,0,0,0,0
